Bill Number,Bill Name,Summary,Status,Caucus,Committee
S. 1257 (117th),AI Scholarship-for-Service Act,"This bill establishes a federal artificial intelligence (AI) scholarship-for-service program to recruit and train AI professionals to lead and support AI in federal, state, local, and tribal governments.Specifically, the National Science Foundation must establish criteria to designate qualified institutions of higher education (IHEs) as eligible to participate in the program. Such criteria must include (1) measures of an IHE's demonstrated excellence in the education of students in AI; and (2) measures of an IHE's ability to attract and retain a diverse and nontraditional student population in science, technology, engineering, and mathematics.Further, the program must (1) provide scholarships through qualified IHEs to students who are enrolled in programs of study related to AI, (2) provide scholarship recipients with internship opportunities, (3) prioritize the employment placement of scholarship recipients in executive agencies, (4) identify opportunities to promote multidisciplinary programs of study that integrate basic or advanced AI training with other fields of study, and (5) support education research programs to train AI researchers and practitioners.Additionally, the post-award employment obligations of a scholarship recipient must include three years of work for an executive agency; Congress; an interstate agency; a state, local, or tribal government; or a government-affiliated nonprofit that is considered to be critical infrastructure. A scholarship recipient who completes less than the required three years of service must repay the scholarship, or the scholarship must be treated as a Federal Direct Unsubsidized Stafford Loan that is subject to repayment.",Enacted,Congressional Artificial Intelligence Caucus,"Cyber, Information Technologies and Innovation"
H.R. 2706 (117th),Freedom from Price Gouging Act,This bill requires drug manufacturers to issue rebates to the Centers for Medicare & Medicaid Services for covered drugs under Medicare that cost $100 or more and for which the average manufacturer price increases faster than inflation.,Enacted,Congressional Bipartisan Disability Employment Choice Caucus,"Labor, Health and Human Services, Education and Related Agencies"
S. 1246 (117th),Pacific Northwest Pumped Storage Hydropower Development Act of 2021,"This bill provides the Department of the Interior exclusive authority to develop hydropower facilities in certain instances and contains other related provisions.Specifically, Interior shall have exclusive authority to develop small conduit hydropower using Bureau of Reclamation facilities and pumped storage hydropower that exclusively use bureau reservoirs. Currently, the Federal Energy Regulatory Commission (FERC) also has regulatory authority over some of the bureau infrastructure involved in such projects, so some projects require approval from both Interior and FERC.The bill also imposes various requirements related to certain proposed projects involving specified tribes in Washington State. Before Interior may issue a lease to use power generated from such a project, the parties involved must agree to a study plan that lays out certain information, time lines, and procedures for addressing issues. Such a lease must also meet certain requirements, such as conditions to ensure that the project will not interfere with the tribes' hunting and fishing rights.",Enacted,Congressional Hydropower Caucus,Energy and Water Development and Related Agencies
S. 1231 (117th),Construction Consensus Procurement Improvement Technical Corrections Act,"This bill prohibits the federal government from using reverse auctions for complex, specialized, or substantial design and construction services. Reverse auctions allow the sellers to bid down the price of a project and typically result in the contractor with the lowest bid winning the contract.The Federal Acquisition Regulatory Council must define complex, specialized, or substantial design and construction services.The General Services Administration shall report to specified congressional committees on this bill's effectiveness.",Enacted,Construction Procurement Caucus,Financial Services and General Government
H.R. 490 (117th),DHS MORALE Act,"This bill addresses workforce morale at the Department of Homeland Security (DHS).The bill expands the duties of the Chief Human Capital Officer to address morale, including through leader development and employee engagement, maintaining a catalogue of available employee development opportunities, and issuing a DHS-wide employee engagement action plan. DHS (1) must establish an employee engagement steering committee, and (2) may establish an annual employee award program.DHS shall report to the congressional homeland security committees regarding the impacts of the lapse in appropriations between December 22, 2018, and January 25, 2019, on (1) DHS human resources operations; (2) DHS's ability to meet hiring benchmarks; and (3) retention, attrition, and morale of DHS personnel.",Enacted,Congressional Human Resources Caucus,Homeland Security
H.R. 367 (117th),Homeland Security Acquisition Professional Career Program Act,"This bill establishes in the Department of Homeland Security an acquisition professional career program to develop a cadre of acquisition professionals.The Management Directorate shall administer the program, including carrying out recruitment efforts and providing specialized acquisition training.",Enacted,Homeland Security Caucus,Homeland Security
H.R. 370 (117th),Quadrennial Homeland Security Review Technical Corrections Act of 2021,"This bill makes numerous changes to the quadrennial homeland security reviews. The quadrennial homeland security review is the Department of Homeland Security's capstone strategy document, which offers recommendations on long-term strategy and priorities for homeland security.Specifically, the changes are related to consultation, prioritization, resources required, deadlines, and documentation.",Enacted,Homeland Security Caucus,Homeland Security
H.R. 396 (117th),Transit Security Grant Program Flexibility Act,"This bill establishes periods of performance for the use of public transportation security assistance grant funds. Funds provided pursuant to such a grant for a specified authorized use, including for tunnel protection systems and surveillance equipment, shall remain available for use by a grant recipient for at least 36 months. However, any such funds used for security improvements for public transportation systems or security improvements for stations and other public transportation infrastructure, including those owned by state or local governments, shall remain available for at least 55 months.The Government Accountability Office shall conduct a review of the public transportation security assistance grant program, including an assessment of the manner in which projects under the program address threats to public transportation infrastructure.",Enacted,Congressional Public Health Caucus,Homeland Security
H.R. 408 (117th),Department of Homeland Security Mentor-Prot\u00e9g\u00e9 Program Act of 2022,This bill provides statutory authority for the mentor-protégé program of the Department of Homeland Security (DHS) under which a mentor firm enters into an agreement with a protégé firm to assist the latter to compete for prime contracts and subcontracts of DHS.,Enacted,Small Business Caucus,Homeland Security
S. 1255 (117th),Minority Business Resiliency Act of 2021,"This bill permanently authorizes the Minority Business Development Agency (MBDA) and requires the MBDA to promote and administer programs that assist the development of minority business enterprises (MBEs).Specifically, the bill requires the MBDA to (1) provide assistance to MBEs in domestic and foreign markets by making available specified resources, (2) promote the position of MBEs in local economies, and (3) collect data on the causes of MBE success or failure and research how economic conditions affect the development of MBEs.The bill establishes formal processes for the MBDA Business Center Program and the MBDA Rural Business Center Program through which business centers provide programs and services to support MBEs.The bill also establishes new initiatives to promote economic resiliency for minority businesses, including (1) an annual forum to review problems and programs relating to capital formation by MBEs, (2) a study and report on alternative financing solutions for MBEs, and (3) entrepreneurship education grants for certain institutions of higher education to develop and implement entrepreneurship curricula.Further, the bill establishes grants for (1) certain nonprofit organizations that provide services to MBEs as one of their primary activities, and (2) MBEs for the purpose of supporting MBEs or helping MBEs remain in business.The Government Accountability Office must report on the programs carried out pursuant to the bill.",Enacted,Asian Pacific American Caucus,Small Business
S. 1210 (117th),Big Cat Public Safety Act,"This bill revises requirements governing the trade of big cats (i.e., species of lion, tiger, leopard, cheetah, jaguar, or cougar or any hybrid of such species). Specifically, it revises restrictions on the possession and exhibition of big cats, including to restrict direct contact between the public and big cats.",Enacted,Congressional Animal Protection Caucus,"Conservation, Research and Biotechnology"
H.R. 473 (117th),Trusted Traveler Reconsideration and Restoration Act of 2021,"This bill directs (1) the Government Accountability Office to review Department of Homeland Security (DHS) trusted traveler programs, and (2) DHS to extend the enrollment period where an individual's participation in a trusted traveler program was revoked in error.",Enacted,Congressional Travel and Tourism Caucus,Homeland Security
H.R. 2659 (117th),United States-Israel Cybersecurity Cooperation Enhancement Act of 2021,This bill requires the Department of Homeland Security to establish a grant program that contributes to the homeland security capabilities of both the United States and Israel by supporting cybersecurity research and development as well as the demonstration and commercialization of cybersecurity technology.Grant applicants must address a requirement in the area of cybersecurity research or cybersecurity technology and be comprised of a joint venture between a U.S. entity and an Israeli entity (or the governments of each country).,Enacted,Congressional Cybersecurity Caucus,"Cyber, Information Technologies and Innovation"
S. 1193 (117th),United States-Israel Cybersecurity Cooperation Enhancement Act of 2021,This bill requires the Department of Homeland Security to establish a grant program that contributes to the homeland security capabilities of both the United States and Israel by supporting cybersecurity research and development as well as the demonstration and commercialization of cybersecurity technology.Grant applicants must address a requirement in the area of cybersecurity research or cybersecurity technology and be comprised of a joint venture between a U.S. entity and an Israeli entity (or the governments of each country).,Enacted,Congressional Cybersecurity Caucus,"Cyber, Information Technologies and Innovation"
S. 1194 (117th),AMIGOS Act,"This bill makes Portuguese nationals eligible for E-1 and E-2 nonimmigrant visas if the government of Portugal provides similar nonimmigrant status to U.S. nationals. The bill also imposes additional requirements on such visas.An E-1 visa is for individuals entering the United States to engage in international trade, while an E-2 visa is for individuals investing a substantial amount of capital in the United States. Both are limited to nationals from countries that have a treaty of commerce and navigation with the United States.Furthermore, under this bill, if an alien who has never received an E visa became the national of an E visa-eligible foreign country by making a financial investment in that foreign country, that alien must have been domiciled in that foreign country for a continuous period of at least three years at any point before applying for an E visa.",Enacted,Congressional Portuguese American Caucus,"State, Foreign Operations and Related Programs"
S. 1076 (117th),REGROW Act of 2021,"This bill provides funding for grants to plug orphaned (i.e., abandoned) oil and gas wells, clean up pollution leaking from such wells, and conduct research and related activities.Specifically, the bill provides funding for a grant program within the Department of the Interior to plug and clean up orphaned wells located on federal, state, tribal, and private land.In addition, the bill provides funding to the Department of Energy and the Oil and Gas Compact Commission for conducting research and development activities to assist federal land management agencies, states, and Indian tribes in (1) identifying and characterizing undocumented orphaned wells, and (2) mitigating the environmental risks of undocumented orphaned wells.",Enacted,Congressional Oil and Gas Caucus,"Interior, Environment and Related Agencies"
H.R. 2340 (117th),Toll Credit Marketplace Act of 2021,"This bill directs the Department of Transportation (DOT) to establish and implement a toll credit exchange pilot program to identify the extent of the demand to purchase toll credits, identify the cash price of toll credits through bilateral transactions between states, analyze the impact of the purchase or sale of toll credits on transportation expenditures, test the feasibility of expanding the pilot program to allow all states to participate on a permanent basis, and identify any other repercussions of the toll credit exchange. In carrying out the pilot program, DOT must provide that an originating state may transfer or sell to a recipient state a credit not previously used by the originating state. DOT must also make available a public website on which originating states must post the amount of toll credits that are available for sale or transfer to a recipient state.DOT may terminate the pilot program or the participation of any state in the pilot program if the program is not serving a public benefit or it is not cost effective.",Enacted,Infrastructure Caucus,"Transportation, Housing and Urban Development and Related Agencies"
H.R. 2383 (117th),"Khalid Jabara and Heather Heyer National Opposition to Hate, Assault, and Threats to Equality Act of 2021","This bill creates grants for state and local governments to combat hate crimes. It also authorizes additional penalties for hate crime offenses.Specifically, it establishes grants for states to create state-run hate crimes reporting hotlines. It also authorizes grants for states and local governments to implement the National Incident-Based Reporting System and to conduct law enforcement activities or crime reduction programs to prevent, address, or respond to hate crimes.Finally, in the case of an individual convicted of a hate crime offense and placed on supervised release, the bill allows a court to order that the individual participate in educational classes or community service as a condition of supervised release.",Enacted,Congressional Hate Crimes Prevention Caucus,"Commerce, Justice, Science and Related Agencies"
H.R. 2249 (117th),Willie O\u2019Ree Congressional Gold Medal Act,"This bill provides for the award of a Congressional Gold Medal to Willie O'Ree or, if unavailable, to a member of his family, in recognition of his contributions and commitment to hockey, inclusion, and recreational opportunity.",Enacted,Congressional Hockey Caucus,"Commerce, Justice, Science and Related Agencies"
S.J.Res. 13 (117th),"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Equal Employment Opportunity Commission relating to \u201cUpdate of Commission\u2019s Conciliation Procedur",,Enacted,Congressional Equality Caucus,"Labor, Health and Human Services, Education and Related Agencies"
S. 3294 (117th),A bill to obtain and direct the placement in the Capitol or on the Capitol Grounds of a statue to honor Associate Justice of the Supreme Court of the United States Sandra Day O\u2019Connor and a statue to honor Associate Justice of the Suprem,"This bill requires the Joint Committee on the Library to obtain, and the Architect of the Capitol to permanently install in the U.S. Capitol or on the U.S. Capitol Grounds, statues honoring Associate Justices of the Supreme Court Sandra Day O'Connor and Ruth Bader Ginsburg.",Enacted,Congressional Women's Caucus,Legislative Branch
S. 351 (117th),Nicholas and Zachary Burt Memorial Carbon Monoxide Poisoning Prevention Act of 2021,This bill directs the Consumer Product Safety Commission to award grants to states and tribal organizations to install carbon monoxide alarms in the homes of low-income families and older adults and facilities that commonly serve children or older adults. Such carbon monoxide alarms must comply with specified standards.,Enacted,Health Care Innovation Caucus,Energy and Water Development and Related Agencies
H.R. 9496 (117th),Alaska Land Conveyances and Trails Act,,Enacted,Congressional Western Caucus,"Interior, Environment and Related Agencies"
S. 5233 (117th),"A bill to require the President to submit to Congress a report on United States Government efforts to collect, analyze, and preserve evidence and information related to war crimes and other atrocities committed during the full-scale Russ","This bill requires the President to report to Congress on atrocities committed during Russia's invasion of Ukraine since February 24, 2022.Specifically, the report must describe in detail (1) U.S. government efforts to collect, analyze, and preserve evidence related to war crimes and other atrocities committed during the invasion; (2) media, public diplomacy, and information operations to make the Russian people, including their military and political leaders, aware of efforts to identify and prosecute those responsible for such atrocities; and (3) the process for a domestic, foreign, or international court or tribunal to obtain information from the U.S. government related to such atrocities.",Enacted,Congressional Ukraine Caucus,"State, Foreign Operations and Related Programs"
S. 5234 (117th),PANIC Act of 2022,"This bill expands the definition of major illicit drug producing country to include a country that is a significant direct source of certain drugs (or precursor chemicals for producing such drugs) that are significantly affecting the United States. The bill also expands the definition of major drug-transit country to include countries through which certain synthetic drugs are transported.(Under current law, a country designated a major illicit drug producing country or major drug-transit country may be eligible for certain U.S. foreign assistance, including transfers of excess defense articles. However, a designated country that fails to adhere to commitments related to drug control measures may be barred from receiving other forms of foreign assistance and may also be subject to trade restrictions.)",Enacted,Congressional Drug Policy Caucus,Homeland Security
H.R. 9491 (117th),Help Find the Missing Act,,Enacted,Congressional Task Force on Missing and Exploited Children,Communications and Technology
H.R. 2551 (117th),Bonneville Shoreline Trail Advancement Act,"This bill modifies the wilderness designations of certain lands in the Uinta-Wasatch-Cache National Forest in Utah.The bill designates approximately 326.27 acres in the Uinta-Wasatch-Cache National Forest as part of the Mount Olympus Wilderness.The bill also removes the following lands in the Uinta-Wasatch-Cache National Forest from designation as wilderness: approximately 11.17 acres in the Mount Naomi Wilderness, approximately 197.4 acres in the Mount Olympus Wilderness, approximately 9.8 acres in the Twin Peaks Wilderness, and approximately 107.9 acres in the Lone Peak Wilderness Area. The lands removed from designation as wilderness shall be managed as part of the forest.",Enacted,Congressional Western Caucus,Forestry
H.R. 9485 (117th),Geographical Dispersion of Junior Reserve Officer Training Corps Act of 2022,,Enacted,Congressional Military Family Caucus,Defense
H.R. 9439 (117th),Honoring Promises to Native Nations Act,,Enacted,Congressional Native American Caucus,Indian and Insular Affairs
S. 2773 (117th),Unleashing American Innovators Act of 2022,"This bill modifies the responsibilities of U.S. Patent and Trademark Office (PTO) satellite offices and addresses related issues.The bill increases the discount on patent-related fees for small and micro entities. An entity that falsely claims such a discount shall be subject to a fine, in addition to any other existing penalties.The bill also modifies the statutory purpose of PTO satellite offices to include (1) outreach activities targeting certain groups, such as low-income populations, veterans, and geographic groups that are underrepresented in patent filings; and (2) targeting patent examiners and administrative patent judges from economically, geographically, and demographically diverse backgrounds in the PTO's retention activities.For each satellite office established after January 1, 2023, the PTO must consider the office's proximity to anchor institutions (e.g., hospitals primarily serving veterans and institutions of higher education) and certain groups, such as low-income populations, veterans, and geographic groups that are underrepresented in patent filings.The PTO must establish (1) a satellite office in the southeastern United States within three years of this bill's enactment, (2) at least four community outreach offices throughout the United States within five years of this bill's enactment, and (3) a pilot program to help prospective first-time patent applicants assess the strengths and weaknesses of a potential patent application.The PTO must also (1) conduct and report to Congress a study on patent pro bono programs, including whether such programs are sufficiently serving prospective and existing participants; and (2) use the study's findings to update such pro bono programs.",Enacted,Congressional Bipartisan Innovation and Entrepreneurship Caucus,"Cyber, Information Technologies and Innovation"
S. 2159 (117th),"A bill to designate the community-based outpatient clinic of the Department of Veterans Affairs located at 400 College Drive, Middleburg, Florida, as the \u201cAndrew K. Baker Department of Veterans Affairs Clinic\u201d, and for other purposes.",,Enacted,Veterans Caucus,"Military Construction, Veterans Affairs and Related Agencies"
H.R. 9297 (117th),Pre-Approval Information Exchange Act of 2022,,Enacted,Congressional Financial Literacy and Wealth Creation Caucus,Financial Services and General Government
S. 5113 (117th),VAWA Technical Amendment Act of 2022,This bill allows formula grants for tribal domestic violence and sexual assault coalitions to be used to support women in Native Hawaiian communities in addition to women in tribal communities.,Enacted,Congressional Native American Caucus,"Military Construction, Veterans Affairs and Related Agencies"
S. 5110 (117th),Valley Forge Park Realignment Permit and Promise Act,,Enacted,Congressional National Marine Sanctuary Caucus,"Conservation, Research and Biotechnology"
S. 5078 (117th),"A bill to designate the facility of the United States Postal Service located at 123 East Main Street in Vergas, Minnesota, as the \u201cJon Glawe Post Office\u201d.",,Enacted,Postal Preservation Caucus,Congressional Postal Caucus
S. 4573 (117th),Electoral Count Reform and Presidential Transition Improvement Act of 2022,"This bill would mark the biggest correction to the process of counting since John-John corrected Herry Monster on Sesame Street.Context: 2020–21Joe Biden defeated Donald Trump in the 2020 presidential election. He won by both 306–232 in the Electoral College and by 51.3% to 46.8% in the popular vote, a difference of roughly seven million votes.During the subsequent two months between the election and its official certification in Congress, numerous attempts were made to change that result: by Donald Trump himself, by his legal team, by his Republican allies in Congress, and by thousands of his supporters during the violent insurrection upon the Capitol Building on January 6, 2021 while Congress officially counted and certified the Electoral College results.None of the Trump team’s attempts proved successful.The Supreme Court rejected all of the Trump team’s legal challenges. State election officials, even Republican ones, refused to change their election certifications. Congressional Republicans’ attempts to challenge several states’ results, notably for Biden-supporting Arizona and Pennsylvania, failed. And Vice President Mike Pence refused to go along with an obscure legal theory pushed by Trump and his allies that, as vice president, he could unilaterally refuse to certify the election results.Context: 1887Most of the current rules regarding all these procedures date back more than a century, to the Electoral Count Act of 1887.The law was inspired by the convoluted and heavily-disputed presidential election of 1876.First, the candidate who received a majority of the popular vote (Democrat Samuel Tilden) failed to earn a majority of the Electoral College. Then, several states sent competing rival slates of electors to Congress — the Democrats sending a Democratic slate, the Republicans sending a Republican slate. On top of that, Congress appointed an unprecedented 15-member commission to essentially decide which candidate should be declared the winner.By only a single vote, 8–7, the commission declared in favor of Republican Rutherford B. Hayes. That single deciding vote was cast by Supreme Court Justice David Davis, who had originally been nominated 14 years earlier by Abraham Lincoln.The 1887 law was controversial even at the time; a law review article only the next year called it “very confused, almost unintelligible.” One of the law’s sentences even runs 275 words long.For about 134 years, though, it arguably worked well enough. That is, until the events of 2020–21 laid bare several potential landmines in America’s electoral system which the law wouldn’t prevent — or, in some cases, would even inadvertently create.What the bill doesThe Electoral Count Reform and Presidential Transition Improvement Act would make several policy changes:Clarify the vice president’s role. Under current law, Congress counts and certifies the Electoral College votes to make it official, during a process led by the vice president, per their role as the president of the Senate%20presides.). This bill would clarify that the vice president’s role in the Electoral College certification is purely ceremonial, and that they don’t actually have the power to change, overrule, or nullify any part of the count.Raises the threshold for Congress to object. Under current law, only one House member and one senator need to object to a state’s Electoral College certification, in order for Congress to vote on whether to exclude that state’s electors. For the 2020 election, those two thresholds were far exceeded: for Arizona, 121 House members and six senators objected; for Pennsylvania, 138 House members and seven senators. This bill would increase both thresholds for objection to one-fifth of both the House and Senate. Had this bill been law at the time, the Senate wouldn’t have met that threshold (although the House still would have).Clarifies which electors count. In case two or more factions within a state each try to send competing slates of electors to Congress for the official count, this bill lays out means for Congress to identify a single slate of electors from each state. It requires Congress to identify one state official (often the secretary of state) responsible for certifying their state’s electors, and requires the state’s electors themselves to be appointed prior to Election Day.**Harder to declare a “failed election.” **The bill also overturns a provision from the Presidential Election Day Act of 1845, which allows a state’s legislature to override their state’s popular vote if the legislature declares a “failed election.” Several states considered this option, namely ones in which the populace voted for Biden even though the legislature was still controlled by Republicans. (No state actually followed through.) This bill would only allow a legislature to override in case of “extraordinary and catastrophic” events.The bill was introduced in the Senate on July 20 as S. 4573, by Sen. Susan Collins (R-ME).What supporters saySupporters argue that the 2020 election was a near-disaster for the American system’s peaceful transfer of power, and 2024 or another future election could be a breaking point unless we fix the laws now.“We have before us an historic opportunity to modernize and strengthen our system of certifying and counting the electoral votes for president and vice president,” Sen. Collins said in committee testimony. “The idea that any vice president would have the power to unilaterally accept, reject, change, or halt the counting of electoral votes is antithetical to our constitutional structure and basic democratic principles.”“Nothing is more essential to the survival of a democracy than the orderly transfer of power,” Sen. Collins continued. “And there is nothing more essential to the orderly transfer of power than clear rules for effecting it.”What opponents sayThere are very few public objectors to this legislation. “There has been notably little public opposition to the heart of the bill,” University of Iowa law professor Derek T. Muller wrote in congressional testimony, “and the bulk of that rare concern rests largely on misunderstandings of the text or technical problems that can be readily corrected.”Norm Eisen — formerly Ambassador to the Czech Republic and now senior fellow in governance studies at Brookings — supports the legislation overall, but noted at least three further changes he still found necessary.The bill “allows the extension of Election Day due to ‘extraordinary and catastrophic events,’” Eisen wrote in his own congressional testimony. “The phrase ‘extraordinary and catastrophic events’ should be better defined to avoid manipulation by the election-denying officials now running to take control of the electoral process.”“Adjustments must be made to the scant six-day window for federal litigation under the [bill],” Eisen continued. “There must be adequate time for any federal litigation should governors or others wrongly certify or refuse to certify electors or otherwise abuse the process. Six days is insufficient.”“To strengthen safeguards when the process moves to Congress, [the bill] should consider clarifying the grounds for objection by replacing undefined and malleable terms preserved from the current [law] such as ‘lawfully certified’ and ‘regularly given,’” Eisen concluded, “terms which have been a proven source of abuse in the past.”Odds of passageIn addition to its Republican lead sponsor, the bill has attracted 17 bipartisan cosponsors: nine Republicans and eight Democrats. It awaits a potential vote in the Senate Rules and Administration Committee, which held a hearing on the bill in August.  Last updated Sep 16, 2022.View all GovTrack summaries.The summary below was written by the Congressional Research Service, which is a nonpartisan division of the Library of Congress, and was published on Oct 25, 2022.Electoral Count Reform and Presidential Transition Improvement Act of 2022This bill revises the process of casting and counting electoral votes for presidential elections. The bill also revises provisions related to the presidential transition process.The bill specifies that the choice of electors must occur in accordance with the laws of the state enacted prior to election day.Additionally, the bill identifies each state's governor (unless otherwise identified in the laws or constitution of a state in effect on election day) as responsible for submitting the certificate of ascertainment identifying the state's electors. Further, the bill provides for expedited judicial review for any action brought by an aggrieved presidential or vice-presidential candidate arising under the U.S. Constitution or U.S. laws with respect to the issuance or transmission of such a certificate.The bill revises the framework for the joint session of Congress to count electoral votes and make a formal declaration of which candidates have been elected President and Vice President. Among other changes, the bill (1) specifies that the role of the Vice President during the joint session shall be ministerial in nature, and (2) raises the objection threshold in Congress to at least one-fifth of the duly chosen and sworn members of both the House of Representatives and the Senate.The bill also revises the presidential transition process, including to (1) allow more than one candidate to receive federal transition resources under certain circumstances, and (2) require additional reporting by the General Services Administration.",Enacted,Congressional Election Reform Caucus,House Committee on House Administration
H.R. 5141 (117th),Maximizing Outcomes through Better Investments in Lifesaving Equipment for (MOBILE) Health Care Act,"This bill allows a health center that currently receives funding through a Health Resources & Services Administration Health Center Program grant to use a New Access Point grant to set up a mobile unit regardless of whether the health center also establishes a permanent health care delivery site.New Access Point grants help health centers establish new delivery sites to provide comprehensive primary care to medically underserved populations. Under current law, health centers may only use the grants to set up a mobile unit if they also establish a permanent site.",Enacted,Congressional Health Care Innovation Caucus,"Labor, Health and Human Services, Education and Related Agencies"
S. 4899 (117th),IMPROVE Act,"This bill specifies that individuals who elect to receive services in religious nonmedical health care institutions (RNHCIs) may receive COVID-19 vaccines under Medicare.Specifically, an individual's receipt of a COVID-19 vaccine does not revoke the individual's election to receive services in RNHCIs under Medicare; an individual who's election was revoked due to the receipt of a COVID-19 vaccine prior to the bill's date of enactment may immediately reelect to receive services in RNHCIs under Medicare.",Enacted,Congressional Health Care Innovation Caucus,"Labor, Health and Human Services, Education and Related Agencies"
H.R. 8910 (117th),Behavioral Health Integration Awareness Act of 2022,"This bill requires the Centers for Medicare & Medicaid Services to (1) conduct outreach to providers on the availability of certain behavioral health integration services under Medicare, and (2) report on the utilization of such services.",Enacted,Bipartisan Mental Health & Substance Use Disorder Task Force,"Labor, Health and Human Services, Education and Related Agencies"
H.R. 8890 (117th),Physician Wellness Program Act of 2022,"This bill exempts wellness programs that provide certain mental or behavioral health services for physicians from restrictions under the Stark law (i.e., the Physician Self-Referral Law) and federal anti-kickback laws.",Enacted,Mental Health Caucus,"Labor, Health and Human Services, Education and Related Agencies"
H.R. 8816 (117th),PROTECT Our Children Act of 2022,This bill reauthorizes through FY2024 the National Strategy for Child Exploitation Prevention and Interdiction.,Enacted,Congressional Caucus on Childhood Cancer,Homeland Security
S. 4802 (117th),Coast Guard Authorization Act of 2022,"This bill authorizes appropriations through FY2023 for the U.S. Coast Guard. It also revises a variety of requirements concerning the Coast Guard's personnel, operations, infrastructure, and environmental compliance. For example, the bill revises requirements concerning maritime cybersecurity and artificial intelligence, workforce readiness, oil spills, healthcare, vessel safety, sexual assault, and sexual harassment.",Enacted,Congressional United States Coast Guard Caucus,Coast Guard and Maritime Transportation
H.R. 8718 (117th),Intelligence Community Coordinator for Russian Atrocities Accountability Act of 2022,,Enacted,Congressional Caucus on U.S. - Türkiye Relations and Turkish Americans,Intelligence and Special Operations
S. 4797 (117th),"A bill to designate the clinic of the Department of Veterans Affairs in Mishawaka, Indiana, as the \u201cJackie Walorski VA Clinic\u201d.","This bill designates the clinic of the Department of Veterans Affairs in Mishawaka, Indiana, as the Jackie Walorski VA Clinic.",Enacted,Veterans Caucus,"Military Construction, Veterans Affairs and Related Agencies"
H.R. 8799 (117th),Otto Warmbier Countering North Korean Censorship and Surveillance Act of 2021,"This bill authorizes sanctions related to censorship in North Korea and addresses related issues.The President may impose property-blocking sanctions on foreign individuals and entities responsible for implementing or facilitating North Korea's censorship laws and surveillance. For the individuals that meet such criteria, the President may also impose visa-blocking sanctions.The bill also authorizes the U.S. Agency for Global Media to provide increased broadcasting and grants for various purposes, including the development of internet freedom tools to facilitate information sharing related to North Korea and the restoration of the agency's broadcasting capacity to North Korea. The President must submit to Congress a strategy to combat North Korea's information environment. The Department of State and the Department of the Treasury must jointly report to Congress each year on U.S. government activities related to the enforcement of sanctions against North Korea.",Enacted,Congressional Human Rights Caucus,"State, Foreign Operations and Related Programs"
S. 4678 (117th),"Department of Homeland Security Appropriations Act, 2023","This bill provides FY2023 appropriations for the Department of Homeland Security (DHS).Specifically, the bill provides appropriations to DHS for Departmental Management, Operations, Intelligence, and Oversight, including the Office of the Secretary and Executive Management; the Management Directorate; Intelligence, Analysis, and Situational Awareness; and the Office of the Inspector General. In addition, the bill provides appropriations for Security, Enforcement, and Investigations, including U.S. Customs and Border Protection, U.S. Immigration and Customs Enforcement, the Transportation Security Administration, the U.S. Coast Guard, and the U.S. Secret Service. The bill provides appropriations for Protection, Preparedness, Response, and Recovery, including the Cybersecurity and Infrastructure Security Agency, and the Federal Emergency Management Agency (FEMA). The bill provides appropriations for Research, Development, Training, and Services, including U.S. Citizenship and Immigration Services, the Federal Law Enforcement Training Centers, the Science and Technology Directorate, and the Countering Weapons of Mass Destruction Office. The bill also sets forth requirements and restrictions for using funds provided by this and other appropriations acts.",Enacted,House Appropriations Committee,Homeland Security
S. 4663 (117th),"Department of Defense Appropriations Act, 2023","This bill provides FY2023 appropriations to the Department of Defense (DOD) for military activities.(The bill excludes military construction, military family housing, civil works projects of the Army Corps of Engineers, and nuclear warheads, which are all considered in other appropriations bills.)Within the DOD budget, the bill provides appropriations for Military Personnel; Operation and Maintenance; Procurement; Research, Development, Test and Evaluation; and Revolving and Management Funds. The bill provides appropriations for other DOD programs and activities, including the Defense Health Program, Chemical Agents and Munitions Destruction, Drug Interdiction and Counter-Drug Activities, the Office of the Inspector General, and Support for International Sporting Competitions. In addition, the bill provides appropriations for related agencies, including (1) the Central Intelligence Agency Retirement and Disability System Fund, and (2) the Intelligence Community Management Account.The bill also sets forth requirements and restrictions for using funds provided by this and other appropriations acts.",Enacted,Defense Modernization Caucus,Defense
